"id","name","value","familiar_cost_points","familiar_grant_points","is_handicap","activation","type","source_line","effect"
"abordage","Abordage","2000","200","","False","Permanent","Classe","2151","Additionne le niveau au nombre de dés lors d’un combat sur un navire."
"accoutumance-a-la-douleur","Accoutumance à la douleur","3000","300","","False","Permanent","Neutre","2152","Diminue la difficulté des jets d’endurance de 1."
"adrenaline","Adrénaline","2000","200","","False","Ephémère","Neutre","2153","Pendant toute la durée d’un combat, le personnage peut augmenter sa force, son endurance, ses réflexes  et sa dextérité de 1."
"affinite-arcanique","Affinité arcanique","3000","300","","False","Permanent","Neutre","2154","Le personnage apprend de nouveaux sorts, avec une aisance déconcertante. Le nombre de jours de son apprentissage sont divisés par son niveau en « Affinité arcanique » + 1. Soit s’il n’a qu’un point dans cet atout, ses jours d’apprentissage seront divisés par 2."
"affinite-avec-les-illusions","Affinité avec les illusions","145","14.5","","False","Permanent","Neutre","2155","Le personnage à tellement l'habitude de vivre entouré d'illusion que son sens de détection de celles-ci s'est fortement aiguisé. Il bénéficie d'une difficulté baissée de 3 pour tout jet de détection d'illusions."
"agilite","Agilité","2000","200","","False","Permanent","Classe","2156","Additionne le niveau au nombre de dés lors d’un jet de danse."
"agitateur","Agitateur","2000","200","","False","Permanent","Neutre","2157","Le personnage peut prendre son niveau en « Agitateur » en dès supplémentaire lors d’un combat dont il est responsable."
"alcool-violent","Alcool violent","2000","200","","False","Permanent","Neutre","2158","Lorsque le personnage combat ivre, il peut ajouter un dés par point dans « Alcool violent » à choix dans sa force ou endurance. Cette répartition peut être changée d’un combat à l’autre."
"allegement","Allègement","2000","200","","False","Permanent","Neutre","2159","Le personnage peut confectionner des objets pesant X % de poids de moins que la normal (arrondi a l’inférieur) dans son domaine."
"ambidextrie","Ambidextrie","2000","200","","False","Permanent","Neutre","2160","Annule les pénalités dues à l’usage de la « mauvaise main »."
"ames-jumelles","Ames jumelles","2000","200","","False","Permanent","Neutre","2161","Le personnage ressent ce que ressent son âme jumelle, peut connaître son état et sait dans quelle direction aller pour la retrouver, même si celle-ci se trouve a l’autre bout du monde."
"ami-des-touts-petits","Ami des touts petits","2000","200","","False","Permanent","Neutre","2162","Le personnage est très vite accepter et apprécier par les enfants."
"amnesie","Amnésie","5000","500","","False","Ephémère","Neutre","2163","Le personnage peut effacer sa présence de la mémoire d’une personne en remontant dans celle-ci jusqu'à un maximum d’une minute par niveau. La victime effectue un test de volonté (difficulté plus le niveau ennemi) pour ne pas oublier."
"analyse","Analyse","2000","200","","False","Ephémère","Neutre","2164","Le personnage peut prendre connaissance du nombre de points d’un autre personnage dans une aptitude, compétence ou spécialisation que celui-ci laisse transparaître."
"ancrage","Ancrage","5000","500","","False","Ephémère","Neutre","2165","Le personnage peut, suite aux pas d’araignée rester au mur ou même au plafond la tête en bas. Cet effet dure aussi longtemps que le désire le personnage, mais celui-ci ne peut ni se mouvoir, ni dormir et de plus il en viendrait à tomber si un point de dégât lui était fait."
"anosmie","Anosmie","-1500","","150","True","Permanent","Neutre","2166","Le personnage ne possède aucun sens de l'odorat."
"anti-bluff","Anti-bluff","2000","200","","False","Permanent","Classe","2167","Additionne le niveau au nombre de dés pour déceler les mensonges."
"anti-delivrance","Anti-délivrance","2000","200","","False","Permanent","Neutre","2168","Un personnage utilisant cet atout peut déduire son niveau aux malus d’affaiblissement du personnage qu’il maltraite (et ainsi lui faire mal plus longtemps). Cet atout ne s’applique que lorsque celui qui le possède le décide."
"anticipation-magique","Anticipation magique","5000","500","","False","Ephémère","Neutre","2169","Le magicien peut incanter un sort sans le lancer, celui-ci est alors anticipé. Une fois le sort anticipé, le magicien peut le lancer à tout moment en 1 DT. Le magicien peut anticiper 1 sort par niveau en anticipation magique. Les sorts sont visibles et accompagnent le magicien, leurs apparences et comportement dépendent de leurs effets. Un sort anticipé reste en suspens jusqu’à ce qu’il soit lancé. Si le lanceur de sort s’endort, perd connaissance ou meurt, le sort est alors libéré sur une cible aléatoire si celui en requiert une."
"antilimite-physique","Antilimite physique","1800","180","","False","Permanent","Neutre","2170","Le coût d’un point supplémentaire dans une aptitude, une fois la limite physique atteinte, est de NA x 10."
"apaisement","Apaisement","2000","200","","False","Ephémère","Neutre","2171","Soigne les blessures par le touché. La vitalité ainsi récupérée est égale au niveau du soignant."
"apprentissage-rapide","Apprentissage rapide","2000","200","","False","Permanent","Neutre","2172","Le personnage additionne son niveau au nombre de réussites qu’il obtient lors d’un jet d’apprentissage."
