id,name,category,capital,language,religion,government,population,surface_km2,notes
aderand,Aderand (Duché d'),duchy,Aderand,langage_commun,liberte_de_culte,monarchy,2100,5000,"Centre commercial névralgique (port, plaque tournante navale) | Liberté de culte officielle (avec Altéria) | Refuge mercenaires"
alteria,Alteria,nation,Erune,langage_commun,liberte_de_culte,monarchy,6500000,240000,"Anciennement païenne, contraint à liberté de culte par pression Cortégante"
cortega,Cortega,nation,Cortega,langage_commun,dieu_unique,monarchy,9000000,370000,"L'Oracle (fontaine prophétique, eau fatale à fortes doses) | Inquisition Cortégante"
detre,Dêtre,nation,Asturiev,detrusk,dieux_paiens,monarchy,3700000,87000,Régime tyrannique | Source potentielle de conflit (chevaliers d'Enorie veulent libérer la dame du donjon)
dundoria,Dundoria,nation,Derin,dundorien,dieux_paiens,monarchy,6000000,210000,Pays le plus avancé en alchimie | Quête de l'Élixir de Longue Vie et de la Pierre Philosophale
empire,Empire (l'),nation,Elioquant,langage_commun,dieux_paiens,imperial,8500000,330000,"Politique d'expansion historique (Marc Hallen, Daniel Féro) | Empereur élu par le peuple OU par défi à l'Empereur | Membre de l'Alliance (depuis 978)"
enorie,Enorie (l'),nation,Monastie,langage_commun,dieu_unique,monarchy,18000,70000,Chevaliers errants célèbres
fauche_le_vent,Fauche-le-Vent,nation,Caréon,langage_commun,dieu_unique,monarchy,4100000,158000,"Nation des Arts (poésie, dessin, peinture, musique, chant, chasse) | Chasse considérée comme art (meilleurs chasseurs) | Tensions avec Foret de Tyrkan + Cortega (Escarmouches secrètes)"
irtanie,Irtanie (l'),nation,Felderio,irtanien,dieu_unique,anarchy,25000000,310000,"Double politique : 'Le Masque' (tyrannie + anarchie publique) + 'Gouvernement Caché' (mafias) | Famine endémique, banalisation cannibalisme | Illettrisme à >99% | Aucune loi écrite"
yonkado,Yonkado (Le),nation,Tsaï' Maï Do,yonnen,dieux_orientaux,imperial,8900000,190000,Détient le secret de la porcelaine ('or blanc') | Meilleurs potiers du monde
blanc_royaume,Blanc Royaume (Le),nation,Imor Nahram,elfique,dieux_elfiques,,2000000,25000,"Procréatrices : femmes enceintes prises en charge par la nation | Piercings, tatouages, narcotiques | Guerriers fanatiques (substances hallucinogènes) | Terres incultivables, dépendant Monde Sombre pour ressources"
foret_de_tyrkan,Tyrkan (Forêt de),nation,Tyrandell,elfique,cultes_elfiques,,2100000,295000,"Serment d'Écorce : tout intrus puni par flèches | Aucune expansion, aucun recul du territoire | Voyageurs perdus définitivement"
haut_royaume,Haut Royaume (Le),nation,Heldannya,elfique,dieux_elfiques,oligarchy,2000000,260000,Gouvernance par couples élus (perte d'autorité si conjoint disparaît) | Bienveillance envers les humains (rôle de médiateur historique)
monde_sombre,Monde Sombre (Le),nation,Vallandr,elfique,cultes_elfiques,,1800000,385000,Plus petit ratio habitant/km² du monde | Rapports sociaux extrêmement difficiles | 1/3 des nouveaux-nés abandonnés (devenant 'Sans Noms' soldats)
collines_d_ico,Collines d'Ico (Les),nation,Kilioka,gnomique,dieux_gnomiques,democracy,,30000,"15 domaines (Icomi, Oumic, Piscio, Tahic, Imouc, Niotaic, Cipli, Pilac, Miotaic, Paclio, Dorrio, Villmia, Octocia, Neplia, Sarmio) | Protection tyrkanaise informelle | Humour particulier (référence livre 'La Triste et Pathétique Histoire de George Brandelle')"
grand_desert,Grand Désert (Le),wilderness,La Cité des Failles,multiple,sans_religion,,"[300, 1000]",110000,"Cité des Failles : nid de criminels, exilés ; basée sur un puits | Vers des sables (créatures géantes 15m+, attirées par vibrations régulières) | Caravanes de l'Espoir (jeunes mercenaires traversant le désert)"
landes_desertiques,Landes Désertiques (les),wilderness,Narcondre,lingua_mortis,culte_de_la_mort,,,,"Faune et flore rares (herbes recherchées par les alchimistes) | Nécropoles, royaume des morts-vivants | Grande source d'ingrédients alchimiques rares"
terres_du_nord,Terres du Nord (les),nation,Hildurm,nordique,dieux_vikings,tribal,3200000,175000,"Origine étrangère ('Hildorom' = voyageur perdu) | 8 tribus issues du premier Jarl Sorolson | Jarl = chef de tribu, suivi librement | Roi unique nommé en cas de conflit | Commerce + pillage (origine du nom 'Viking' = pillard) | Flotte commerciale et militaire dominante | Commerce de la glace en plein essor"
